Edition	#	Target	Seller	Buyer / Investor	Source URL
Mar 14–20, 2026	1	Plenitude	Eni	Ares Management	https://www.eni.com/en-IT/media/press-release/2026/03/eni-deconsolidates-plenitude-through-shareholding-reorganization.html
Mar 14–20, 2026	2	Bayonne Energy Center (660 MW)	Morgan Stanley Infrastructure Partners	Jupiter Energy Investor	https://www.morganstanley.com/press-releases/msip-agrees-to-sell-bayonne-energy-center
Mar 14–20, 2026	3	Spanish Hybridisation Platform	—	Equitix / COFIDES	https://www.cofides.es/en/noticias/notas-de-prensa/cofides-co-invests-equitix-and-australian-investor-cutting-edge-renewable
Mar 14–20, 2026	4	174 MW Wind Portfolio (France)	la Banque des Territoires	Axium Infrastructure Europe	https://www.axiuminfra.com/2026/03/20/le-20-mars-2026-axium-infrastructure-europe-acquiert-une-participation-dans-un-portefeuille-eolien-en-exploitation-de-174-mw-en-france/
Mar 14–20, 2026	5	48.4 MW Community Solar (New Mexico)	Pluma Construction / ForeFront Power	Brookfield / Standard Solar	https://www.businesswire.com/news/home/20260316627025/en/Pluma-Construction-ForeFront-Power-and-Standard-Solar-Bring-48.4-MW-Community-Solar-Portfolio-to-New-Mexico
Mar 14–20, 2026	6	Porterbrook (rolling stock lessor)	—	CBRE Investment Management	https://realassets.ipe.com/news/cbre-im-acquires-10-stake-in-uk-rolling-stock-company/10135846.article
Mar 14–20, 2026	7	Cube Highways Trust (4 highway assets)	I Squared Capital	Cube Highways Trust / I Squared Capital	https://scanx.trade/stock-market-news/companies/cube-highways-trust-executes-commitment-letter-for-multi-company-acquisition-and-rofo-agreement/35299651
Mar 14–20, 2026	8	PMI Electro / Allfleet (e-bus platform)	—	KKR	https://www.businesswire.com/news/home/20260316328702/en/KKR-Forms-$310-Million-Strategic-Partnership-with-PMI-Electro-to-Scale-E-Bus-Platform-Allfleet
Mar 14–20, 2026	9	Revolv (US e-truck operator)	—	Zenobe (KKR, Infracapital, Mubadala)	https://www.zenobe.com/news-and-events/zenobe-expands-its-north-american-fleet-with-acquisition-of-revolv/
Mar 14–20, 2026	10	NorthC Datacenters	DWS	APG Asset Management / Antin Infrastructure Partners	https://assetmanagement.apg.nl/publications/apg-invests-in-enterprise-colocation-data-center-platform-northc/
Mar 21–27, 2026	1	Amprion (electricity grid)	Talanx	Allianz Global Investors	https://www.allianzgi.com/en/press-centre/media/press-releases/20260326-allianzgi-buys-stake-in-german-grid-amprion
Mar 21–27, 2026	2	OnStream (smart metering)	—	Igneo Infrastructure Partners	https://www.igneoip.com/europe/en/institutional/news-and-insights/press/igneo-acquires-onStream-smart-meter-asset-provider.html
Mar 21–27, 2026	3	Lestari Cooling Energy (district cooling)	KJTS (existing investor)	Stonepeak / KJTS / KWAP	https://stonepeak.com/news/lestari-cooling-energy-strengthens-platform-adding-kwap-as-an-investor
Mar 21–27, 2026	4	Boralex Inc. (renewables)	Public shareholders	Brookfield & La Caisse	https://www.boralex.com/en/press-releases/boralex-enters-definitive-agreement-be-acquired-brookfield-alongside-la-caisse
Mar 21–27, 2026	5	Akira Portfolio — 194 MW solar (Italy)	EOS Investment Mgmt / Capital Dynamics	Sonnedix (J.P. Morgan AM)	https://www.sonnedix.com/news/sonnedix-surpasses-1gw-of-operating-capacity-in-italy-with-acquisition-of-194mw-akira-portfolio
Mar 21–27, 2026	6	Tamil Nadu Solar Project — 100 MW (India)	ReNew Energy Global	Technique Solaire (ADIA Infrastructure)	https://www.sec.gov/Archives/edgar/data/1848763/000119312526120810/6k_tn_100_signing.htm
Mar 21–27, 2026	7	Safeway Concessions — 9 toll highways (India)	Macquarie Asia Infrastructure Fund 2	VINCI Highways	https://www.vinci.com/en/newsroom/press-releases/vinci-signs-agreement-macquarie-asset-management-acquisition-nine-highway
Mar 21–27, 2026	8	A63 Motorway — 104 km (France)	HICL Infrastructure / CVC DIF / NGE Autoroutes	Abertis	https://www.mundys.com/en/w/abertis-to-acquire-majority-stake-of-the-a63-road-in-france
Mar 21–27, 2026	9	All American Grease Services	—	Liquid Environmental Solutions (Goldman Sachs AM)	https://www.liquidenviro.com/blog-news/liquid-environmental-solutions-acquires-all-american-grease-services-companies
Mar 21–27, 2026	10	Equinox Growers greenhouse facility	Generate Capital	Taylor Farms	https://generatecapital.com/generate-capital-announces-sale-of-equinox-growers-greenhouse-facility-to-taylor-farms/
Mar 21–27, 2026	11	Desktop S.A. (fiber broadband, Brazil)	H.I.G. Capital	Claro	https://www.prnewswire.com/news-releases/hig-capital-announces-sale-of-brazilian-portfolio-company-desktop-to-claro-302726355.html
